id,cn,l,l160,l320,prov,can,organic,grass,btest,bfree,rp
88,-18.29648043740266,4.031908355981455,3.746858225677319,3.458718917665108,5.277770777699281,4.525858095082367,.4114346637134286,1.978284119861063,1.839575751354813,3.193291596095285,1
94,-5.730262619214242,3.109335612363361,4.172776048816623,3.070805764530351,5.158304446737354,4.514539882272642,-.0899227554556866,-.5919177706677902,1.276351821757897,3.310068942225285,1
95,-18.54152926773235,5.217238795742724,3.656546917729413,3.313321019786243,5.319593149495584,4.45993555073207,.0854375546266085,.9953064170652759,1.252010962266369,1.206941531073209,1
96,1.893571781015109,4.006524356193615,3.896455011032919,3.317264689407843,5.326973840601933,4.431959935882497,2.13281717236321,.9846567396929905,1.221087572894102,1.74907940991968,1
97,-18.37923639481274,3.940713670857872,3.949091214622584,3.416565798378536,5.259645249740743,4.473382423355837,1.856236014341405,.9787106921157737,1.337998124479982,3.117062956981614,1
100,-18.83368345731791,3.931615747912134,4.41044077650716,3.174679075421465,5.281380188608349,4.425317881318674,1.235759463785319,.7981516140557432,.6285265450224387,1.917088691264136,1
101,-4.68978622769325,3.601147360023884,3.909210823551151,3.946063268255337,5.272372597044167,4.452697094341935,-1.711935844649773,-1.192569609862386,.9166041421961828,2.947050726462561,1
105,-8.56862109233847,3.719050604722795,4.153976541044936,3.058372611542836,5.397417582344378,4.478025936460844,1.074929969979815,-.6113296254410359,1.612647725317187,2.188478066871713,1
108,-19.0775231707984,3.371938686313204,4.211859936177428,3.209172989432549,5.43824404844481,4.449529829640272,1.167357786941067,-.6077463052186777,2.292426049625263,1.488372103838257,1
110,-18.72420663244,3.902162049024559,4.139430309087526,3.470337322959767,5.22233609414932,4.413590629907826,-2.03100861049591,.858515147837675,1.440973133057301,-.1155164582801187,1
111,-12.12686787385295,5.071193144566074,4.00209128981851,3.705658096838961,5.191401982632997,4.444314791680245,-.6896399241563043,2.609151157852389,1.576353024718768,1.826438127677741,1
114,-16.75955354592305,3.851785010132071,4.130174192930296,3.945887789534781,5.156160926797192,4.479814831390388,4.068037482328477,1.885005255924189,1.644711586071857,4.516287875373175,1
115,-1.929118650215445,4.059524255278919,4.02166704546398,4.175904451746423,5.172890745882894,4.459250161236413,-1.140304337458503,-.6161171585475879,.9973737258826039,1.51840630299957,1
117,-5.453866673332721,3.663492972568181,4.117543597622153,3.508518789196925,5.083122493086896,4.47934899878503,-1.468829035567805,.2948016182789461,1.058136308862695,4.730679455430913,1
118,-17.79043169001142,3.416507248520895,3.93165816944345,3.42147659680299,5.350030639095621,4.49049685793547,.7775225455386809,1.184672810303553,1.333730801155568,3.851509104999504,1
123,-5.97381836105938,5.293038748335995,4.098544225292897,3.428026899743452,5.200674841979343,4.436849875979497,1.793856090737545,1.21683282998597,.7710612400532608,4.577604372500252,1
124,-3.73325881302747,4.665093272286249,4.081903828882785,3.647823067326919,5.225944926496861,4.405752389444704,.5473100944532064,.7631715270751219,1.147468776061988,3.225080636882382,1
129,-18.66469168130579,5.807582168318705,3.842222879262061,4.259420462393644,5.24504041948447,4.424515939393565,1.709028200472508,-.5796440125034619,2.252899864449136,3.887276366194136,1
